neighbourhood_group,minimum_nights,room_type,room_type_count
Bronx,1,Entire home/apt,85
Bronx,1,Private room,232
Bronx,1,Shared room,45
Bronx,2,Entire home/apt,149
Bronx,2,Private room,200
Bronx,2,Shared room,8
Bronx,3,Entire home/apt,61
Bronx,3,Private room,118
Bronx,3,Shared room,1
Bronx,4,Entire home/apt,14
Bronx,4,Private room,22
Bronx,5,Entire home/apt,23
Bronx,5,Private room,32
Bronx,6,Entire home/apt,2
Bronx,6,Private room,5
Bronx,7,Entire home/apt,16
Bronx,7,Private room,12
Bronx,7,Shared room,2
Bronx,10,Entire home/apt,1
Bronx,10,Private room,1
Bronx,10,Shared room,2
Bronx,14,Entire home/apt,4
Bronx,14,Private room,4
Bronx,14,Shared room,1
Bronx,15,Entire home/apt,1
Bronx,15,Private room,1
Bronx,20,Entire home/apt,1
Bronx,20,Private room,2
Bronx,21,Entire home/apt,1
Bronx,21,Private room,3
Bronx,22,Private room,1
Bronx,26,Entire home/apt,1
Bronx,28,Private room,2
Bronx,30,Entire home/apt,10
Bronx,30,Private room,15
Bronx,40,Entire home/apt,1
Bronx,90,Entire home/apt,7
Bronx,90,Shared room,1
Bronx,91,Private room,1
Bronx,93,Entire home/apt,1
Bronx,186,Entire home/apt,1
Bronx,365,Private room,1
Brooklyn,1,Entire home/apt,1346
Brooklyn,1,Private room,3139
Brooklyn,1,Shared room,165
Brooklyn,2,Entire home/apt,2660
Brooklyn,2,Private room,2594
Brooklyn,2,Shared room,67
Brooklyn,3,Entire home/apt,2069
Brooklyn,3,Private room,1493
Brooklyn,3,Shared room,35
Brooklyn,4,Entire home/apt,892
Brooklyn,4,Private room,527
Brooklyn,4,Shared room,15
Brooklyn,5,Entire home/apt,772
Brooklyn,5,Private room,591
Brooklyn,5,Shared room,20
Brooklyn,6,Entire home/apt,190
Brooklyn,6,Private room,128
Brooklyn,7,Entire home/apt,448
Brooklyn,7,Private room,463
Brooklyn,7,Shared room,16
Brooklyn,8,Entire home/apt,31
Brooklyn,8,Private room,31
Brooklyn,8,Shared room,1
Brooklyn,9,Entire home/apt,21
Brooklyn,9,Private room,15
Brooklyn,9,Shared room,2
Brooklyn,10,Entire home/apt,111
Brooklyn,10,Private room,124
Brooklyn,10,Shared room,6
Brooklyn,11,Entire home/apt,8
Brooklyn,11,Private room,5
Brooklyn,11,Shared room,1
Brooklyn,12,Entire home/apt,12
Brooklyn,12,Private room,25
Brooklyn,12,Shared room,1
Brooklyn,13,Entire home/apt,18
Brooklyn,13,Private room,11
Brooklyn,14,Entire home/apt,114
Brooklyn,14,Private room,140
Brooklyn,14,Shared room,1
